fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.8,0.22,0.35,5.5,0.043,21.0,114.0,0.9938,3.3,0.53,10.7,Good
6.5,0.38,0.34,3.4,0.036000000000000004,34.0,200.0,0.9937,3.14,0.76,10.0,Poor
6.5,0.28,0.34,3.6,0.04,29.0,121.0,0.99111,3.28,0.48,12.1,Good
7.1,0.27,0.28,1.25,0.023,3.0,89.0,0.98993,2.95,0.3,11.4,Poor
9.0,0.17,0.49,1.0,0.039,46.0,131.0,0.993,3.09,0.51,10.5,Good
7.0,0.29,0.54,10.7,0.046,59.0,234.0,0.9966,3.05,0.61,9.5,Poor
6.2,0.32,0.12,4.8,0.054000000000000006,6.0,97.0,0.99424,3.16,0.5,9.3,Poor
6.8,0.21,0.31,2.9,0.046,40.0,121.0,0.9913,3.07,0.65,10.9,Good
5.3,0.47,0.1,1.3,0.036000000000000004,11.0,74.0,0.99082,3.48,0.54,11.2,Poor
7.2,0.46,0.65,10.4,0.05,76.0,192.0,0.9976,3.16,0.42,8.7,Poor
7.1,0.18,0.49,1.3,0.033,12.0,72.0,0.99072,3.05,0.53,11.3,Good
7.3,0.24,0.41,13.6,0.05,41.0,178.0,0.9988,3.37,0.43,9.7,Poor
6.6,0.5,0.26,11.3,0.028999999999999998,32.0,110.0,0.9930200000000001,3.27,0.78,12.9,Good
8.6,0.23,0.4,4.2,0.035,17.0,109.0,0.9947,3.14,0.53,9.7,Poor
7.7,0.28,0.35,15.3,0.055999999999999994,31.0,117.0,0.9998,3.27,0.5,9.6,Poor
6.0,0.16,0.3,6.7,0.043,43.0,153.0,0.9951,3.63,0.46,10.6,Poor
6.8,0.36,0.24,4.6,0.039,24.0,124.0,0.9909,3.27,0.34,12.6,Good
6.5,0.33,0.38,8.3,0.048,68.0,174.0,0.99492,3.14,0.5,9.6,Poor
7.4,0.16,0.27,15.5,0.05,25.0,135.0,0.9984,2.9,0.43,8.7,Good
5.8,0.61,0.01,8.4,0.040999999999999995,31.0,104.0,0.9909,3.26,0.72,14.05,Good
6.3,0.13,0.42,1.1,0.043,63.0,146.0,0.99066,3.13,0.72,11.2,Good
7.2,0.24,0.29,2.2,0.037000000000000005,37.0,102.0,0.992,3.27,0.64,11.0,Good
7.9,0.18,0.37,1.2,0.04,16.0,75.0,0.992,3.18,0.63,10.8,Poor
6.9,0.3,0.3,1.3,0.053,24.0,186.0,0.99361,3.29,0.54,9.9,Poor
6.1,0.38,0.42,5.0,0.016,31.0,113.0,0.9900700000000001,3.15,0.31,12.4,Good
6.8,0.37,0.28,4.0,0.03,29.0,79.0,0.99,3.23,0.46,12.4,Good
6.1,0.6,0.0,1.3,0.042,24.0,79.0,0.9937,3.31,0.38,9.4,Poor
9.3,0.34,0.49,7.3,0.052000000000000005,30.0,146.0,0.998,3.17,0.61,10.2,Poor
6.5,0.2,0.24,9.2,0.044000000000000004,25.0,150.0,0.9950200000000001,3.22,0.44,10.5,Poor
8.0,0.23,0.37,9.6,0.054000000000000006,23.0,159.0,0.99795,3.32,0.47,9.8,Poor
5.9,0.22,0.29,4.2,0.037000000000000005,69.0,144.0,0.9921399999999999,3.13,0.74,10.8,Good
6.4,0.31,0.31,12.9,0.045,55.0,161.0,0.99546,3.02,0.59,10.2,Poor
7.0,0.39,0.31,5.3,0.16899999999999998,32.0,162.0,0.9965,3.2,0.48,9.4,Poor
7.2,0.24,0.3,1.6,0.048,27.0,131.0,0.9933,3.25,0.45,10.5,Poor
7.3,0.19,0.27,13.9,0.057,45.0,155.0,0.9980700000000001,2.94,0.41,8.8,Good
6.8,0.25,0.18,1.4,0.055999999999999994,13.0,137.0,0.9935,3.11,0.42,9.5,Poor
6.8,0.3,0.22,6.2,0.06,41.0,190.0,0.9985799999999999,3.18,0.51,9.2,Poor
6.7,0.3,0.29,2.8,0.025,37.0,107.0,0.99159,3.31,0.63,11.3,Good
6.7,0.18,0.25,14.3,0.048,79.0,149.0,0.9975,3.12,0.37,9.7,Poor
6.8,0.21,0.27,18.15,0.042,41.0,146.0,1.0001,3.3,0.36,8.7,Poor
7.0,0.26,0.59,1.4,0.037000000000000005,40.0,120.0,0.9918,3.34,0.41,11.1,Good
6.8,0.28,0.43,7.6,0.03,30.0,110.0,0.99164,3.08,0.59,12.5,Good
8.1,0.22,0.28,7.7,0.043,57.0,176.0,0.9954,3.12,0.55,10.0,Poor
6.8,0.26,0.42,1.7,0.049,41.0,122.0,0.993,3.47,0.48,10.5,Good
6.0,0.67,0.07,1.2,0.06,9.0,108.0,0.9931,3.11,0.35,8.7,Poor
6.2,0.1,0.41,1.0,0.04,17.0,76.0,0.98988,3.14,0.56,11.4,Good
7.4,0.44,0.2,11.5,0.049,44.0,157.0,0.998,3.27,0.44,9.0,Poor
6.5,0.35,0.31,10.2,0.069,58.0,170.0,0.99692,3.18,0.49,9.4,Poor
7.7,0.27,0.34,1.8,0.027999999999999997,26.0,168.0,0.9911,2.99,0.48,12.1,Good
6.6,0.21,0.39,2.3,0.040999999999999995,31.0,102.0,0.99221,3.22,0.58,10.9,Good
5.8,0.335,0.14,5.8,0.046,49.0,197.0,0.9937,3.3,0.71,10.3,Poor
7.3,0.24,0.39,17.95,0.057,45.0,149.0,0.9999,3.21,0.36,8.6,Poor
5.7,0.255,0.65,1.2,0.079,17.0,137.0,0.9930700000000001,3.2,0.42,9.4,Poor
7.4,0.19,0.3,12.8,0.053,48.5,212.0,0.9986,3.14,0.49,9.1,Good
6.6,0.22,0.53,15.1,0.052000000000000005,22.0,136.0,0.9986,2.94,0.35,9.4,Poor
6.2,0.29,0.32,3.6,0.026000000000000002,39.0,138.0,0.9892,3.31,0.37,13.1,Good
6.4,0.24,0.28,11.5,0.05,34.0,163.0,0.9969,3.31,0.45,9.5,Poor
7.8,0.21,0.49,1.2,0.036000000000000004,20.0,99.0,0.99,3.05,0.28,12.1,Good
6.2,0.31,0.23,3.3,0.052000000000000005,34.0,113.0,0.99429,3.16,0.48,8.4,Poor
8.2,0.18,0.49,1.1,0.033,28.0,81.0,0.9923,3.0,0.68,10.4,Good
6.5,0.23,0.38,1.3,0.032,29.0,112.0,0.99298,3.29,0.54,9.7,Poor
7.4,0.19,0.3,12.8,0.053,48.5,229.0,0.9986,3.14,0.49,9.1,Good
7.4,0.2,0.33,1.9,0.035,39.0,138.0,0.991,3.17,0.44,11.7,Good
6.6,0.19,0.25,1.2,0.052000000000000005,34.0,181.0,0.9935200000000001,3.3,0.42,9.4,Good
6.6,0.23,0.32,0.9,0.040999999999999995,25.0,79.0,0.9926,3.39,0.54,10.2,Good
5.9,0.35,0.47,2.2,0.11,14.0,138.0,0.9932,3.09,0.5,9.1,Poor
6.4,0.28,0.17,8.3,0.042,61.0,195.0,0.99577,3.22,0.46,9.4,Poor
7.6,0.2,0.3,14.2,0.055999999999999994,53.0,212.5,0.9990000000000001,3.14,0.46,8.9,Good
7.2,0.23,0.19,13.7,0.052000000000000005,47.0,197.0,0.99865,3.12,0.53,9.0,Poor
7.6,0.35,0.47,13.3,0.037000000000000005,42.0,116.0,0.9982200000000001,3.04,0.5,9.2,Poor
5.6,0.235,0.29,1.2,0.047,33.0,127.0,0.991,3.34,0.5,11.0,Good
7.1,0.28,0.19,7.8,0.04,48.0,184.0,0.99579,3.16,0.5,9.4,Poor
6.9,0.29,0.41,7.8,0.046,52.0,171.0,0.9953700000000001,3.12,0.51,9.6,Poor
6.7,0.25,0.36,8.6,0.037000000000000005,63.0,206.0,0.9955299999999999,3.18,0.5,9.6,Poor
6.2,0.37,0.24,6.1,0.032,19.0,86.0,0.98934,3.04,0.26,13.4,Good
6.0,0.26,0.15,1.2,0.053,35.0,124.0,0.9934700000000001,3.08,0.46,8.8,Poor
6.6,0.27,0.29,5.3,0.045,57.0,189.0,0.9953,3.31,0.79,9.8,Poor
9.6,0.25,0.54,1.3,0.04,16.0,160.0,0.9938,2.94,0.43,10.5,Poor
7.6,0.21,0.49,2.5,0.047,20.0,130.0,0.9917799999999999,3.15,0.48,11.1,Poor
5.8,0.32,0.2,2.6,0.027000000000000003,17.0,123.0,0.98936,3.36,0.78,13.9,Good
5.8,0.22,0.3,1.1,0.047,36.0,131.0,0.992,3.26,0.45,10.4,Poor
6.6,0.16,0.57,1.1,0.13,58.0,140.0,0.9927,3.12,0.39,9.3,Good
8.2,0.28,0.42,1.8,0.031,30.0,93.0,0.9917,3.09,0.39,11.4,Poor
7.0,0.15,0.28,14.7,0.051,29.0,149.0,0.99792,2.96,0.39,9.0,Good
7.9,0.21,0.39,2.0,0.057,21.0,138.0,0.9917600000000001,3.05,0.52,10.9,Poor
7.9,0.345,0.51,15.3,0.047,54.0,171.0,0.9987,3.09,0.51,9.1,Poor
7.4,0.28,0.4,11.9,0.032,13.0,92.0,0.99629,3.01,0.46,10.8,Poor
6.8,0.28,0.4,22.0,0.048,48.0,167.0,1.001,2.93,0.5,8.7,Poor
8.2,0.37,0.36,1.0,0.034,17.0,93.0,0.9906,3.04,0.32,11.7,Good
6.8,0.51,0.3,4.2,0.066,38.0,165.0,0.9945,3.2,0.42,9.1,Poor
7.1,0.31,0.5,14.5,0.059000000000000004,6.0,148.0,0.9983,2.94,0.44,9.1,Poor
8.1,0.27,0.41,1.45,0.033,11.0,63.0,0.9908,2.99,0.56,12.0,Poor
6.6,0.27,0.31,5.3,0.13699999999999998,35.0,163.0,0.9951,3.2,0.38,9.3,Poor
6.4,0.29,0.28,11.1,0.063,66.0,169.0,0.9973,2.89,0.57,9.0,Poor
6.2,0.31,0.23,3.3,0.052000000000000005,34.0,113.0,0.99429,3.16,0.48,8.4,Poor
7.0,0.35,0.3,6.5,0.027999999999999997,27.0,87.0,0.9936,3.4,0.42,11.4,Good
7.8,0.26,0.49,3.1,0.045,21.0,116.0,0.9931,3.16,0.35,10.3,Poor
6.3,0.35,0.3,5.7,0.035,8.0,97.0,0.9927,3.27,0.41,11.0,Good
5.6,0.2,0.66,10.2,0.043,78.0,175.0,0.9945,2.98,0.43,10.4,Good
7.0,0.3,0.51,13.6,0.05,40.0,168.0,0.9976,3.07,0.52,9.6,Good
6.2,0.28,0.22,7.3,0.040999999999999995,26.0,157.0,0.9957,3.44,0.64,9.8,Good
7.2,0.23,0.39,14.2,0.057999999999999996,49.0,192.0,0.9979,2.98,0.48,9.0,Good
6.9,0.45,0.27,4.7,0.035,17.0,80.0,0.9905799999999999,3.12,0.36,12.5,Good
7.2,0.24,0.19,7.7,0.045,53.0,176.0,0.9958,3.17,0.38,9.5,Poor
7.6,0.32,0.58,16.75,0.05,43.0,163.0,0.9999,3.15,0.54,9.2,Poor
6.7,0.34,0.31,16.4,0.051,20.0,146.0,0.99834,3.06,0.54,9.1,Poor
9.8,0.93,0.45,8.6,0.052000000000000005,34.0,187.0,0.9994,3.12,0.59,10.2,Poor
7.7,0.28,0.35,15.3,0.055999999999999994,31.0,117.0,0.9998,3.27,0.5,9.6,Poor
6.6,0.28,0.23,10.4,0.049,45.0,190.0,0.99754,3.12,0.51,8.8,Poor
7.2,0.58,0.27,5.8,0.032,40.0,118.0,0.9908799999999999,3.17,0.53,13.0,Good
7.3,0.24,0.34,7.5,0.048,29.0,152.0,0.9962,3.1,0.54,9.0,Poor
6.4,0.32,0.5,10.7,0.047,57.0,206.0,0.9968,3.08,0.6,9.4,Poor
7.2,0.23,0.39,14.2,0.057999999999999996,49.0,192.0,0.9979,2.98,0.48,9.0,Good
7.0,0.31,0.29,1.4,0.037000000000000005,33.0,128.0,0.9896,3.12,0.36,12.2,Good
5.7,0.28,0.36,1.8,0.040999999999999995,38.0,90.0,0.9900200000000001,3.27,0.98,11.9,Good
6.0,0.34,0.32,3.8,0.044000000000000004,13.0,116.0,0.99108,3.39,0.44,11.8,Good
6.8,0.21,0.27,2.1,0.03,26.0,139.0,0.99,3.16,0.61,12.6,Good
7.2,0.22,0.35,5.5,0.054000000000000006,37.0,183.0,0.99474,3.08,0.5,10.3,Poor
8.3,0.39,0.7,10.6,0.045,33.0,169.0,0.9976,3.09,0.57,9.4,Poor
6.9,0.35,0.39,2.4,0.048,25.0,157.0,0.9913299999999999,3.2,0.54,11.1,Good
7.6,0.28,0.49,20.15,0.06,30.0,145.0,1.00196,3.01,0.44,8.5,Poor
7.4,0.33,0.26,15.6,0.049,67.0,210.0,0.9990700000000001,3.06,0.68,9.5,Poor
6.5,0.22,0.25,17.1,0.05,44.0,138.0,1.0001,3.3,0.37,8.8,Poor
7.4,0.4,0.29,5.4,0.044000000000000004,31.0,122.0,0.9940000000000001,3.3,0.5,11.1,Good
6.8,0.24,0.29,2.0,0.044000000000000004,15.0,96.0,0.9923200000000001,3.23,0.64,10.4,Good
6.1,0.46,0.32,6.2,0.053,10.0,94.0,0.9953700000000001,3.35,0.47,10.1,Poor
7.4,0.16,0.3,13.7,0.055999999999999994,33.0,168.0,0.99825,2.9,0.44,8.7,Good
6.2,0.25,0.25,1.4,0.03,35.0,105.0,0.9912,3.3,0.44,11.1,Good
5.7,0.255,0.65,1.2,0.079,17.0,137.0,0.9930700000000001,3.2,0.42,9.4,Poor
7.6,0.27,0.24,3.8,0.057999999999999996,19.0,115.0,0.9958,3.15,0.45,8.9,Poor
6.9,0.28,0.31,7.2,0.04,47.0,168.0,0.9946,3.29,0.57,10.6,Good
6.6,0.15,0.34,5.1,0.055,34.0,125.0,0.9942,3.36,0.42,9.6,Poor
6.7,0.54,0.28,5.4,0.06,21.0,105.0,0.9949,3.27,0.37,9.0,Poor
6.9,0.23,0.24,14.2,0.053,19.0,94.0,0.9982,3.17,0.5,9.6,Poor
5.6,0.28,0.28,4.2,0.044000000000000004,52.0,158.0,0.992,3.35,0.44,10.7,Good
7.5,0.27,0.31,5.8,0.057,131.0,313.0,0.9946,3.18,0.59,10.5,Poor
6.8,0.18,0.3,12.8,0.062,19.0,171.0,0.99808,3.0,0.52,9.0,Good
7.3,0.13,0.31,2.3,0.054000000000000006,22.0,104.0,0.9924,3.24,0.92,11.5,Good
7.8,0.3,0.37,1.3,0.051,16.0,96.0,0.9941,3.32,0.62,10.0,Poor
6.8,0.53,0.35,3.8,0.034,26.0,109.0,0.9906,3.26,0.57,12.7,Good
6.1,0.36,0.27,2.1,0.035,16.0,100.0,0.9917,3.4,0.71,11.5,Good
8.9,0.3,0.35,4.6,0.032,32.0,148.0,0.9945799999999999,3.15,0.45,11.5,Good
6.4,0.3,0.16,7.5,0.05,55.0,191.0,0.9959,3.17,0.49,9.0,Poor
7.2,0.32,0.24,5.6,0.033,23.0,120.0,0.99334,2.92,0.66,10.3,Good
7.7,0.43,0.28,4.5,0.046,33.0,102.0,0.9918,3.16,0.56,12.2,Good
6.0,0.26,0.34,1.3,0.046,6.0,29.0,0.9924,3.29,0.63,10.4,Poor
8.0,0.22,0.42,14.6,0.044000000000000004,45.0,163.0,1.0003,3.21,0.69,8.6,Good
7.4,0.21,0.3,7.9,0.039,14.0,118.0,0.9942,2.96,0.34,10.4,Poor
5.9,0.3,0.47,7.85,0.03,19.0,133.0,0.9933,3.52,0.43,11.5,Good
7.2,0.18,0.31,1.1,0.045,20.0,73.0,0.9925,3.32,0.4,10.8,Good
6.7,0.64,0.3,1.2,0.03,18.0,76.0,0.9892,3.16,0.6,12.9,Poor
5.9,0.3,0.3,2.0,0.03,38.0,142.0,0.98892,3.41,0.41,12.9,Good
6.2,0.25,0.54,7.0,0.046,58.0,176.0,0.99454,3.19,0.7,10.4,Poor
7.3,0.3,0.33,2.3,0.043,28.0,125.0,0.9908399999999999,3.34,0.44,12.6,Good
6.5,0.22,0.32,2.2,0.027999999999999997,36.0,92.0,0.9907600000000001,3.27,0.59,11.9,Good
7.7,0.31,0.36,4.3,0.026000000000000002,15.0,87.0,0.9915200000000001,3.11,0.48,12.0,Poor
6.9,0.4,0.22,5.95,0.081,76.0,303.0,0.99705,3.4,0.57,9.4,Poor
6.4,0.34,0.44,8.2,0.043,54.0,201.0,0.99551,3.18,0.48,9.5,Poor
6.2,0.37,0.3,6.6,0.34600000000000003,79.0,200.0,0.9954,3.29,0.58,9.6,Poor
5.5,0.14,0.27,4.6,0.028999999999999998,22.0,104.0,0.9949,3.34,0.44,9.0,Poor
6.5,0.28,0.28,20.4,0.040999999999999995,40.0,144.0,1.0002,3.14,0.38,8.7,Poor
5.3,0.76,0.03,2.7,0.043,27.0,93.0,0.9932,3.34,0.38,9.2,Poor
6.7,0.61,0.21,1.65,0.11699999999999999,40.0,240.0,0.9938,3.11,0.57,9.3,Poor
7.7,0.17,0.52,5.9,0.017,21.0,84.0,0.9929,3.14,0.4,11.9,Good
6.9,0.32,0.13,7.8,0.042,11.0,117.0,0.996,3.23,0.37,9.2,Poor
6.2,0.39,0.24,4.8,0.037000000000000005,45.0,138.0,0.99174,3.23,0.43,11.2,Good
7.1,0.27,0.24,12.6,0.044000000000000004,48.0,118.0,0.99726,3.04,0.56,10.0,Good
6.8,0.37,0.28,1.9,0.024,64.0,106.0,0.98993,3.45,0.6,12.6,Good
6.0,0.23,0.15,9.7,0.048,101.0,207.0,0.99571,3.05,0.3,9.1,Poor
6.0,0.14,0.37,1.2,0.032,63.0,148.0,0.99185,3.32,0.44,11.2,Poor
5.9,0.18,0.28,1.0,0.037000000000000005,24.0,88.0,0.9909399999999999,3.29,0.55,10.65,Good
6.8,0.63,0.04,1.3,0.057999999999999996,25.0,133.0,0.99271,3.17,0.39,10.2,Poor
7.5,0.705,0.1,13.0,0.044000000000000004,44.0,214.0,0.99741,3.1,0.5,9.1,Poor
6.8,0.31,0.42,6.9,0.046,50.0,173.0,0.9958,3.19,0.46,9.0,Poor
7.4,0.16,0.27,15.5,0.05,25.0,135.0,0.9984,2.9,0.43,8.7,Good
7.0,0.15,0.28,14.7,0.051,29.0,149.0,0.99792,2.96,0.39,9.0,Good
7.0,0.2,0.74,0.8,0.044000000000000004,19.0,163.0,0.9931,3.46,0.53,10.2,Poor
6.5,0.32,0.45,7.7,0.022000000000000002,31.0,97.0,0.99134,3.2,0.7,12.7,Good
6.6,0.36,0.52,10.1,0.05,29.0,140.0,0.9962799999999999,3.07,0.4,9.4,Poor
6.5,0.3,0.39,7.8,0.038,61.0,219.0,0.9959,3.19,0.5,9.4,Poor
5.8,0.555,0.26,4.5,0.053,17.0,126.0,0.9943,3.24,0.46,9.1,Poor
6.8,0.44,0.2,16.0,0.065,61.0,186.0,0.99884,3.13,0.45,8.6,Poor
7.6,0.2,0.3,14.2,0.055999999999999994,53.0,212.5,0.9990000000000001,3.14,0.46,8.9,Good
6.6,0.26,0.56,15.4,0.053,32.0,141.0,0.9981,3.11,0.49,9.3,Poor
5.8,0.29,0.21,2.6,0.025,12.0,120.0,0.9894,3.39,0.79,14.0,Good
6.5,0.36,0.38,10.2,0.027999999999999997,20.0,82.0,0.99274,3.1,0.43,12.1,Good
6.6,0.32,0.24,1.3,0.06,42.5,204.0,0.9951200000000001,3.59,0.51,9.2,Poor
7.6,0.31,0.29,10.5,0.04,21.0,145.0,0.9966,3.04,0.35,9.4,Poor
7.5,0.17,0.32,1.7,0.04,51.0,148.0,0.9916,3.21,0.44,11.5,Good
6.2,0.29,0.29,5.6,0.046,35.0,178.0,0.99313,3.25,0.51,10.53333333,Poor
5.3,0.24,0.33,1.3,0.033,25.0,97.0,0.9906,3.59,0.38,11.0,Good
6.5,0.38,0.26,5.2,0.042,33.0,112.0,0.99067,3.06,0.5,12.3,Good
8.2,0.68,0.3,2.1,0.047,17.0,138.0,0.995,3.22,0.71,10.8,Poor
6.2,0.3,0.32,1.2,0.052000000000000005,32.0,185.0,0.99266,3.28,0.44,10.1,Poor
6.4,0.15,0.44,1.2,0.043,67.0,150.0,0.9907,3.14,0.73,11.2,Good
6.0,0.32,0.3,1.9,0.033,41.0,142.0,0.9891200000000001,3.29,0.42,12.8,Good
6.1,0.34,0.24,18.35,0.05,33.0,184.0,0.9994299999999999,3.12,0.61,9.3,Poor
6.1,0.105,0.31,1.3,0.037000000000000005,55.0,145.0,0.9912,3.41,0.41,11.1,Good
6.8,0.28,0.44,11.5,0.04,58.0,223.0,0.9969,3.22,0.56,9.5,Poor
7.1,0.26,0.32,16.2,0.044000000000000004,31.0,170.0,0.99644,3.17,0.37,11.2,Poor
6.7,0.25,0.31,1.35,0.061,30.5,218.0,0.9938799999999999,3.16,0.53,9.5,Poor
6.5,0.18,0.41,14.2,0.039,47.0,129.0,0.9967799999999999,3.28,0.72,10.3,Good
6.8,0.63,0.04,1.3,0.057999999999999996,25.0,133.0,0.99271,3.17,0.39,10.2,Poor
6.6,0.24,0.27,15.8,0.035,46.0,188.0,0.9982,3.24,0.51,9.2,Poor
6.2,0.3,0.3,2.5,0.040999999999999995,29.0,82.0,0.99065,3.31,0.61,11.8,Good
8.3,0.26,0.41,9.2,0.042,41.0,162.0,0.9944,3.1,0.38,12.0,Good
7.5,0.27,0.79,11.95,0.04,51.0,159.0,0.99839,2.98,0.44,8.7,Poor
7.4,0.16,0.3,13.7,0.055999999999999994,33.0,168.0,0.99825,2.9,0.44,8.7,Good
5.1,0.33,0.22,1.6,0.027000000000000003,18.0,89.0,0.9893,3.51,0.38,12.5,Good
7.3,0.33,0.4,6.85,0.038,32.0,138.0,0.992,3.03,0.3,11.9,Good
6.0,0.29,0.41,10.8,0.048,55.0,149.0,0.9937,3.09,0.59,10.96666667,Good
6.3,0.27,0.18,7.7,0.048,45.0,186.0,0.9962,3.23,0.47,9.0,Poor
6.5,0.36,0.16,1.3,0.054000000000000006,11.0,107.0,0.99398,3.19,0.39,8.5,Poor
8.5,0.56,0.74,17.85,0.051,51.0,243.0,1.0005,2.99,0.7,9.2,Poor
6.5,0.39,0.23,5.4,0.051,25.0,149.0,0.9934,3.24,0.35,10.0,Poor
6.8,0.28,0.39,1.4,0.036000000000000004,15.0,115.0,0.9918,3.27,0.72,11.7,Poor
8.3,0.22,0.38,14.8,0.054000000000000006,32.0,126.0,1.0002,3.22,0.5,9.7,Poor
6.3,0.24,0.29,1.6,0.052000000000000005,48.0,185.0,0.9934,3.21,0.5,9.4,Poor
8.8,0.34,0.33,9.7,0.036000000000000004,46.0,172.0,0.9966,3.08,0.4,10.2,Poor
6.6,0.15,0.32,6.0,0.033,59.0,128.0,0.99192,3.19,0.71,12.1,Good
6.4,0.15,0.29,1.8,0.044000000000000004,21.0,115.0,0.99166,3.1,0.38,10.2,Poor
5.9,0.42,0.36,2.4,0.034,19.0,77.0,0.9918399999999999,3.25,0.48,10.9,Poor
6.5,0.14,0.33,7.6,0.05,53.0,189.0,0.9966,3.25,0.49,8.6,Poor
7.8,0.28,0.31,2.1,0.046,28.0,208.0,0.99434,3.23,0.64,9.8,Poor
7.6,0.23,0.26,15.3,0.067,32.0,166.0,0.9986,3.03,0.44,9.2,Poor
5.6,0.18,0.29,2.3,0.04,5.0,47.0,0.99126,3.07,0.45,10.1,Poor
9.1,0.27,0.45,10.6,0.035,28.0,124.0,0.997,3.2,0.46,10.4,Good
7.1,0.35,0.27,3.1,0.034,28.0,134.0,0.9897,3.26,0.38,13.1,Good
7.3,0.36,0.54,13.3,0.054000000000000006,63.0,193.0,0.99864,3.06,0.49,8.6,Poor
7.9,0.51,0.34,2.6,0.049,13.0,135.0,0.99335,3.09,0.51,10.0,Poor
6.3,0.13,0.42,1.1,0.043,63.0,146.0,0.99066,3.13,0.72,11.2,Good
9.2,0.32,0.42,1.3,0.046,14.0,186.0,0.9949,3.08,0.48,9.6,Poor
7.1,0.2,0.37,1.5,0.049,28.0,129.0,0.99226,3.15,0.52,10.8,Poor
6.7,0.48,0.32,1.4,0.021,22.0,121.0,0.9889,3.15,0.53,12.7,Good
7.3,0.28,0.35,1.6,0.054000000000000006,31.0,148.0,0.9917799999999999,3.18,0.47,10.7,Poor
7.6,0.26,0.47,1.6,0.068,5.0,55.0,0.9944,3.1,0.45,9.6,Poor
8.6,0.485,0.29,4.1,0.026000000000000002,19.0,101.0,0.9918,3.01,0.38,12.4,Poor
8.3,0.21,0.4,1.6,0.032,35.0,110.0,0.9907,3.02,0.6,12.9,Good
6.8,0.21,0.36,18.1,0.046,32.0,133.0,1.0,3.27,0.48,8.8,Poor
7.1,0.37,0.67,10.5,0.045,49.0,155.0,0.9975,3.16,0.44,8.7,Poor
6.9,0.615,0.42,12.0,0.067,24.0,131.0,0.9972700000000001,3.19,0.34,9.3,Poor
6.8,0.19,0.23,5.1,0.034,71.0,204.0,0.9942,3.23,0.69,10.1,Poor
6.7,0.24,0.3,3.85,0.042,105.0,179.0,0.9918899999999999,3.04,0.59,11.3,Good
6.8,0.18,0.35,5.4,0.054000000000000006,53.0,143.0,0.99287,3.1,0.54,11.0,Good
7.4,0.29,0.5,1.8,0.042,35.0,127.0,0.9937,3.45,0.5,10.2,Good
6.8,0.21,0.27,18.15,0.042,41.0,146.0,1.0001,3.3,0.36,8.7,Poor
